specObjID,ra,dec,z
5457255364792963072,179.94568,5.6011282,0.6115918
5457264435763892224,179.87307,5.5366541,0.5194192
947020949721475072,179.87175,5.5798831,0.1290712
5457264985519706112,179.7093,5.6160963,0.6325144
5457265260397613056,179.68102,5.5969312,0.6820772
5457264710641799168,179.81206,5.6224368,0.5226749
5457264160885985280,179.77058,5.5868943,0.6813493
946995386076129280,179.77003,5.6117338,0.1293137
947019300454033408,179.65887,5.3031563,0.168927
947014077773801472,179.6742,5.3428871,0.07483715
5457262236740636672,179.64592,5.3968931,0.3426867
5457263061374357504,179.7167,5.4201067,0.5203722
947020674843568128,179.78197,5.4506994,0.1678505
947016276797057024,179.74308,5.4580385,0.1401331
5457297695990632448,179.29992,5.5727651,0.4716758
5457288350141796352,179.43935,5.6037448,0.4473012
5457287250630168576,179.35902,5.6060025,0.4771204
5457285051606913024,179.37745,5.3942822,0.5904432
5457296596479004672,179.36181,5.4087577,0.5933936
5457286700874354688,179.49892,5.584723,0.4766909
5457282852583657472,179.47939,5.5200055,0.5340744
5457276255513890816,179.53543,5.5487286,0.5020313
945918139542038528,179.37379,5.4783307,0.147725
5457297146234818560,179.35655,5.4556149,0.4730602
945917589786224640,179.35981,5.4586345,0.1492125
945917314908317696,179.37571,5.5070103,0.1478638
5344796211311562752,179.43222,5.0981049,0.4869324
947000608756361216,179.39304,5.0977373,0.07992534
947011603872638976,179.39943,5.0547503,0.07875961
945929959292037120,179.38587,5.0476104,0.07700543
5344798960090632192,179.41502,5.0815928,0.6824054
945920888321107968,179.3019,5.0757361,0.07815333
947002258023802880,179.32753,5.0533953,0.08107132
945920338565294080,179.36011,5.0979827,0.07620602
5344795661555748864,179.35732,5.0875204,0.128886
5344795936433655808,179.37885,5.0945012,0.07790739
5457296321601097728,179.37073,5.0890593,0.07715903
946998409733105664,179.37709,5.0901501,0.04904601
945929684414130176,179.37806,5.079789,0.07561732
5457274056490635264,179.57858,5.2250854,0.5387247
947017101430777856,179.58877,5.2505589,0.05739713
5457285876240633856,179.48585,5.2589771,0.5190936
5344806656672026624,179.5425,5.1866922,0.5335323
945928859780409344,179.37898,5.276117,0.05397781
945917040030410752,179.33719,5.2516096,0.08138528
946998134855198720,179.31963,5.1855147,0.07584058
945928310024595456,179.44595,5.2543738,0.07414854
5457283952095285248,179.39036,5.2009159,0.4903559
945916765152503808,179.33023,5.1981168,0.1691339
947000883634268160,179.34776,5.2252126,0.07325314
947010779238918144,179.45919,5.2424014,0.07453877
945927485390874624,179.43728,5.1934055,0.07189953
5344796761067376640,179.45281,5.2098145,0.4697548
947010504361011200,179.42687,5.2008205,0.07438252
945918964175759360,179.32974,5.1036072,0.07680919
5457295496967376896,179.31976,5.1270438,0.4876832
945930234169944064,179.37918,5.1001889,0.07362875
945917864664131584,179.35668,5.1571241,0.1264038
945929134658316288,179.46431,5.115283,0.07472125
945929409536223232,179.45786,5.1744333,0.07450356
5344797310823190528,179.4621,5.1550093,0.4699409
947008855093569536,179.41282,5.1115144,0.07452409
945930509047851008,179.4324,5.1378908,0.07538011
947001983145895936,179.38188,5.1204088,0.0779931
947009129971476480,179.41895,5.1874734,0.08003972
945927210512967680,179.39602,5.1692795,0.07737524
945931608559478784,179.39952,5.144067,0.1250833
945916490274596864,179.3489,5.2833449,0.07594017
946999509244733440,179.3594,5.2826345,0.07768325
946998684611012608,179.37053,5.3444208,0.129729
946997859977291776,179.34952,5.3086364,0.07796253
945926660757153792,179.43577,5.3310076,0.1287542
5457285601362726912,179.44016,5.421695,0.5663946
5457284501851099136,179.38532,5.3585954,0.457578
5457274331368542208,179.63165,5.4237321,0.3456841
5457273781612728320,179.61804,5.3794897,0.3449507
947016551674963968,179.6279,5.3801188,0.3451822
947011328994732032,179.50942,5.2802848,0.0486615
947011054116825088,179.54144,5.294766,0.07597309
5457272132345286656,179.52207,5.3196594,0.3436671
947009404849383424,179.51784,5.2934208,0.1680312
947014627529615360,179.5647,5.2879787,0.128458
947015177285429248,179.58002,5.3391586,0.07286454
5457277355025518592,179.59,5.5734778,0.4778785
5457275156002263040,179.53247,5.4538319,0.4704688
947015452163336192,179.5312,5.4858978,0.129539
947014352651708416,179.59795,5.5096025,0.2460038
5457274606246449152,179.57289,5.4229223,0.4884458
5457286425996447744,179.50326,5.4074322,0.5915352
5457281203316215808,179.48685,5.3089777,0.545487
5457282302827843584,179.47232,5.3414582,0.5173049
947009954605197312,179.50702,5.3963547,0.1289953
5457286151118540800,179.52692,5.4119699,0.5682565
5457341676455743488,178.60322,5.4891396,0.481091
945895324675762176,178.60079,5.4834827,0.05091976
945894500042041344,178.58163,5.5293036,0.05363527
5457351846938300416,178.58682,5.4269887,0.3437082
