Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
Afghanistan	AFG	Access to electricity (% of population)	EG.ELC.ACCS.ZS	84.1371383666992
Afghanistan	AFG	Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	68.7942
Afghanistan	AFG	Age dependency ratio (% of working-age population)	SP.POP.DPND	86.5709321507136
Afghanistan	AFG	Agriculture, value added (% of GDP)	NV.AGR.TOTL.ZS	20.9658976104561
Afghanistan	AFG	Agriculture, value added (annual % growth)	NV.AGR.TOTL.KD.ZG	5.97175068925613
Afghanistan	AFG	Agriculture, value added (constant 2005 US$)	NV.AGR.TOTL.KD	4535103188.06536
Afghanistan	AFG	Air transport, registered carrier departures worldwide	IS.AIR.DPRT	22770
Afghanistan	AFG	Automated teller machines (ATMs) (per 100,000 adults)	FB.ATM.TOTL.P5	1.07421538203442
Afghanistan	AFG	Borrowers from commercial banks (per 1,000 adults)	FB.CBK.BRWR.P3	3.05195383587665
Afghanistan	AFG	Consumer price index (2010 = 100)	FP.CPI.TOTL	137.904563672559
Afghanistan	AFG	Contributing family workers, female (% of female employment) (modeled ILO estimate)	SL.FAM.WORK.FE.ZS	58.0439987182617
Afghanistan	AFG	Contributing family workers, male (% of male employment) (modeled ILO estimate)	SL.FAM.WORK.MA.ZS	19.7749996185303
Afghanistan	AFG	Contributing family workers, total (% of total employment) (modeled ILO estimate)	SL.FAM.WORK.ZS	26.0860004425049
Afghanistan	AFG	CPIA economic management cluster average (1=low to 6=high)	IQ.CPA.ECON.XQ	3
Afghanistan	AFG	CPIA financial sector rating (1=low to 6=high)	IQ.CPA.FINS.XQ	2
Afghanistan	AFG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ	1.5
Afghanistan	AFG	CPIA macroeconomic management rating (1=low to 6=high)	IQ.CPA.MACR.XQ	3.5
Afghanistan	AFG	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	IQ.CPA.SOCI.XQ	2.6
Afghanistan	AFG	CPIA property rights and rule-based governance rating (1=low to 6=high)	IQ.CPA.PROP.XQ	2
Afghanistan	AFG	CPIA social protection rating (1=low to 6=high)	IQ.CPA.PROT.XQ	2.5
Afghanistan	AFG	Depth of credit information index (0=low to 8=high)	IC.CRD.INFO.XQ	0
Afghanistan	AFG	Domestic credit provided by financial sector (% of GDP)	FS.AST.DOMS.GD.ZS	-1.18049212834269
Afghanistan	AFG	Domestic credit to private sector (% of GDP)	FS.AST.PRVT.GD.ZS	3.59847581413645
Afghanistan	AFG	Ease of doing business index (1=most business-friendly regulations)	IC.BUS.EASE.XQ	..
Afghanistan	AFG	Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	..
Afghanistan	AFG	Employers, female (% of female employment) (modeled ILO estimate)	SL.EMP.MPYR.FE.ZS	0.291999995708466
Afghanistan	AFG	Employers, male (% of male employment) (modeled ILO estimate)	SL.EMP.MPYR.MA.ZS	1.432000041008
Afghanistan	AFG	Employers, total (% of total employment) (modeled ILO estimate)	SL.EMP.MPYR.ZS	1.24399995803833
Afghanistan	AFG	Employment in agriculture (% of total employment) (modeled ILO estimate)	SL.AGR.EMPL.ZS	61.3489990234375
Afghanistan	AFG	Employment in agriculture, female (% of female employment) (modeled ILO estimate)	SL.AGR.EMPL.FE.ZS	72.6210021972656
Afghanistan	AFG	Employment in agriculture, male (% of male employment) (modeled ILO estimate)	SL.AGR.EMPL.MA.ZS	59.1220016479492
Afghanistan	AFG	Employment in industry (% of total employment) (modeled ILO estimate)	SL.IND.EMPL.ZS	6.74100017547607
Afghanistan	AFG	Employment in industry, female (% of female employment) (modeled ILO estimate)	SL.IND.EMPL.FE.ZS	5.55900001525879
Afghanistan	AFG	Employment in industry, male (% of male employment) (modeled ILO estimate)	SL.IND.EMPL.MA.ZS	6.97499990463257
Afghanistan	AFG	Employment in services (% of total employment) (modeled ILO estimate)	SL.SRV.EMPL.ZS	31.9099998474121
Afghanistan	AFG	Employment in services, female (% of female employment) (modeled ILO estimate)	SL.SRV.EMPL.FE.ZS	21.8209991455078
Afghanistan	AFG	Employment in services, male (% of male employment) (modeled ILO estimate)	SL.SRV.EMPL.MA.ZS	33.9020004272461
Afghanistan	AFG	Export value index (2000 = 100)	TX.VAL.MRCH.XD.WD	434.3793696
